iter	MAE	RMSE
579	0.04724273808	0.07247744708
580	0.04691061342	0.07210059101
581	0.04671227377	0.07169029378
582	0.04637418338	0.07124400134
583	0.04615197008	0.0709158521
584	0.0459610032	0.07054971842
585	0.04559343611	0.06994847816
586	0.04539931995	0.06959657594
587	0.04518578889	0.06929402348
588	0.04495637271	0.0690485581
589	0.04471964868	0.06879319141
590	0.0445185674	0.06847930389
591	0.04413124865	0.06794434875
592	0.04389889117	0.06753823839
593	0.04373528179	0.06722020785
594	0.04339180271	0.06687173377
595	0.04309317552	0.0665834542
596	0.04289591406	0.06621800768
597	0.0426539207	0.06578716838
598	0.04240065297	0.06540503592
599	0.04216461261	0.06499034431
600	0.04187824646	0.06465803754
601	0.04150796404	0.06401816289
602	0.04116460946	0.06344895863
603	0.04092286494	0.06299560936
604	0.04060222173	0.06261559773
605	0.04045057065	0.06237792847
606	0.04010044423	0.06185402608
607	0.03980442422	0.06146936687
608	0.03967795163	0.06129183868
609	0.03932036443	0.06094328891
610	0.03914104677	0.06067956214
611	0.03883684287	0.06017963539
612	0.03866206761	0.05996940496
613	0.0384099654	0.05959122998
614	0.03818217054	0.05921952387
615	0.03789839247	0.05869412888
616	0.03758061391	0.05815710878
617	0.03733279195	0.05780505038
618	0.0371828865	0.05749002485
619	0.03698296988	0.05725644151
620	0.03684441231	0.0570203789
621	0.03656446841	0.05661381739
622	0.03626142187	0.0562245131
623	0.03616244353	0.05606554724
624	0.03590353038	0.0556332564
625	0.0356673314	0.0553009605
626	0.03544381476	0.05500629389
627	0.03527978737	0.05469524101
628	0.03508732878	0.05437979465
629	0.03483542032	0.05397024595
630	0.03465195207	0.05377219967
631	0.03448311823	0.05348410605
632	0.03419876644	0.05315341595
633	0.03406348032	0.05301204489
634	0.0339009992	0.05277046586
635	0.03374459835	0.05252039256
636	0.03365770373	0.05225544524
637	0.03353110512	0.05205461848
638	0.03335828072	0.05176319401
639	0.03311663382	0.05136268518
640	0.03293195999	0.05110070489
641	0.03272163995	0.05090669261
642	0.0324334605	0.05046680876
643	0.03220687232	0.05010731118
644	0.03212118865	0.04996587819
645	0.03199010026	0.04971711988
646	0.03183816684	0.04952829748
647	0.03173131972	0.04936192394
648	0.03150654695	0.04900860849
649	0.03132234919	0.04880813722
650	0.03120463558	0.04861984032
651	0.03107136757	0.04834692598
652	0.03086777289	0.04788818447
653	0.03070993753	0.0476023087
654	0.03055533414	0.04728652315
655	0.03045133783	0.04715676307
656	0.03040390496	0.04705497288
657	0.0303046398	0.04692081022
658	0.03015974331	0.04673176761
659	0.0300511271	0.04655566983
660	0.029857005	0.04632600234
661	0.02969464357	0.04610347706
662	0.02927693188	0.04558568503
663	0.02912942356	0.04541075286
664	0.02893230072	0.04511350632
665	0.02870766741	0.0447551079
666	0.02859862099	0.04458040881
667	0.02850634561	0.04445881365
668	0.02837613386	0.04422503156
669	0.02827751018	0.04409559841
670	0.02809087749	0.0438054281
671	0.02790033221	0.0435784855
672	0.0277490382	0.04329663196
673	0.02757585776	0.04297730482
674	0.02738012732	0.04272352731
675	0.02717022298	0.04236221213
676	0.02710175589	0.04217395045
677	0.02686733966	0.04186383501
678	0.02672139244	0.04165115471
679	0.02661532628	0.04150551041
680	0.0264766741	0.0412866341
681	0.02632420633	0.0410536443
682	0.02603063005	0.04071483192
683	0.02591605644	0.04050891078
684	0.02573124698	0.0402618484
685	0.02562634318	0.04005117417
686	0.02545418487	0.03982136735
687	0.02528188046	0.03957633398
688	0.02514364612	0.03936817055
689	0.02502106187	0.03923383232
690	0.02499737372	0.03912560688
691	0.02490032667	0.03898865418
692	0.02477479973	0.03876125301
693	0.02468868776	0.03860513936
694	0.0244038307	0.03824262151
695	0.02427723324	0.03804258652
696	0.02406836276	0.0377185041
697	0.02391156603	0.03751359848
698	0.02380312445	0.03735205538
699	0.02365645193	0.03712600263
700	0.02359074064	0.03699576895
701	0.02350290651	0.03689836701
702	0.02345330619	0.03673769954
703	0.02334848652	0.03662660638
704	0.0232453467	0.03648293566
705	0.02310480731	0.03624010047
706	0.02301462093	0.03605961876
707	0.02289940279	0.03589074717
708	0.02276622974	0.03566489568
709	0.02273220666	0.03560914399
710	0.0226637886	0.03551389495
711	0.02254810193	0.03538624955
712	0.02247069047	0.03527662215
713	0.02230481664	0.03509889502
714	0.02218851709	0.0349313082
715	0.02211890241	0.03481593493
716	0.0220434798	0.03471450403
717	0.02194303334	0.03453175352
718	0.02177210715	0.0342332273
719	0.02168174622	0.03406071568
720	0.02158498715	0.0339246767
721	0.02139547261	0.0336716168
722	0.02127643916	0.03354193539
723	0.02122786733	0.03341074786
724	0.02104612874	0.03317499015
725	0.02097283488	0.03307858944
726	0.02081507332	0.03286092952
727	0.02064617884	0.03260357274
728	0.02050813052	0.0323278571
729	0.02036007931	0.03215879568
730	0.02024452698	0.03200301986
731	0.02017875962	0.0318907837
732	0.02004712182	0.03169917557
733	0.01993028255	0.03155193095
734	0.01975571068	0.03138708805
735	0.01966560356	0.03123489731
736	0.01958733114	0.03111534039
737	0.01949756736	0.03094669404
738	0.01939592972	0.03073760234
739	0.0192938857	0.03056658472
740	0.01922792432	0.03046668173
741	0.01911417484	0.0303118701
742	0.01901858756	0.03012463328
743	0.01890507994	0.02987178418
744	0.01872339751	0.02963706825
745	0.01865769378	0.02950274801
746	0.01851479881	0.02928349579
747	0.01830661324	0.02902303898
